#,0,1,2,3,4,5,6,7,8
DTD,WORD,BYTE,BYTE,SHORT,SHORT,SHORT,SHORT,BYTE,WORD
NAM,SprId,IdType,Layer,DX,DY,OffsetX,OffsetY,Loop,Move
#,“˝”√ID°æ∏˘æ›∫Û√Êµƒ¿‡–Õæˆ∂®À˜“˝ƒƒ’≈±Ì°ø,ID¿‡–Õ°æ0:æ´¡È[æ≤Ã¨]|1:Ãÿ–ß[Õ¨≤„ª·∏≤∏«æ´¡È]°ø,≤„¿‡–Õ°æ0:‘∂æ∞|1:÷–æ∞|2:µÿ√Ê|3:«∞æ∞°ø,‰÷»æµΩX°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,‰÷»æµΩY°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆X°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆Y°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,—≠ª∑¥Œ ˝,"“∆∂Ø«ß∑÷±»°æ‘∂æ∞Ω®“È0|÷–æ∞(0,1000)|µÿ√Ê±ÿ–ÎŒ™1000|Ω¸æ∞±ÿ–Î¥Û”⁄1000°ø"
RAN,"[0,65500]","[0,250]","[0,250]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[1,250]","[0,65500]"
0,30120,0,0,0,264,0,0,3,650
1,30121,0,1,0,200,0,0,3,800
2,30122,0,2,0,-40,0,0,3,1000
3,30123,0,3,0,0,0,0,3,1200
4,25045,1,1,200,293,0,0,1,1000
5,25050,1,1,760,250,0,0,1,1000
6,25045,1,1,1204,293,0,0,1,1000
7,25050,1,1,1784,250,0,0,1,1000
8,25045,1,1,2228,293,0,0,1,1000
9,25050,1,1,2808,250,0,0,1,1000
10,25055,1,1,826,250,0,0,1,1000
11,25055,1,1,1850,250,0,0,1,1000
12,25055,1,1,2874,250,0,0,1,1000
13,25060,1,1,250,280,0,0,1,1000
14,25060,1,1,1274,280,0,0,1,1000
15,25060,1,1,2298,280,0,0,1,1000
