#,0,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
DTD,WORD,#,BYTE,WORD,BYTE,BYTE,BYTE,WORD,WORD,WORD,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,WORD,WORD
NAM,ID,#,Type,UseAI,Type_1,Type_2,DeriveID,PosX,PosY,PosH,Stage,InitLvl,BornActID,DeadAct,BornFace,HitDead,DeadFinish,DropId,Dropodds
#,"Ω«…´ID°æ∏±±æ÷–Ω◊∂Œº‰∏ÙÃÓidŒ™65535,∆≥ˆ…˙µ„X◊¯±ÍŒ™º‰∏Ù◊¯±Í°ø",±∏◊¢,¿‡–Õ°æ0-NPC|1-BOSS|2-ƒæÕ∞|3-œ›⁄Â°ø,Ω«…´ π”√µƒAI°æ√ª”–ÃÓ65500°ø,∆‰À˚¿‡–Õ£∫0:ºÃ≥–Œª÷√≈……˙ 1:æ¯∂‘Œª÷√≈……˙(±Ì æ≈……˙◊¯±Í) 255:≤ª≈……˙(±Ì æ≥ˆ…˙◊¯±Í), «∑Ò «≈……˙π÷ŒÔ,À¿Õˆ≈……˙ID(÷ª÷ß≥÷±æ∆¡µƒID||––∫≈),≥ˆ…˙µ„X◊¯±Í,≥ˆ…˙µ„Y◊¯±Í,≥ˆ…˙µ„H◊¯±Í,À˘‘⁄∏±±æΩ◊∂Œ°æ≥« –ÃÓ0|–¸…Õ∫Õ¡‘ªÍÃÓ0°ø,Ω«…´≥ı ºµ»º∂,≥ˆ…˙’– Ω∂‘”¶µƒID|ActID,À¿Õˆ’– Ω∂‘”¶µƒID|ActID,0:ƒ¨»œµƒ∑ΩœÚ 1:œ‡∑¥µƒ∑ΩœÚ, «∑Ò…˙–ßÀ¿Õˆ, «∑ÒÀ¿Õˆ¡À≤≈ƒ‹Õ®π˝,µÙ¬‰id°æ65535¥˙±Ì√ª”–°ø,µÙ¬‰º∏¬ °æ∞Ÿ∑÷±»°ø
RAN,"[0,65535]",#,"[0,255]","[0,65500]","[0,255]","[0,1]","[0,255]","[0,65500]","[0,65500]","[0,65500]","[0,255]","[0,255]","[0,255]","[0,255]","[0,1]","[0,1]","[0,1]","[0,65535]","[0,100]"
0,171,…±»À∑‰,0,0,255,0,255,650,60,0,0,1,10,255,0,0,1,65535,0
1,171,…±»À∑‰,0,0,255,0,255,650,160,0,0,1,10,255,0,0,1,65535,0
2,175,ª®œ…◊”,0,1,255,0,255,850,20,0,0,1,10,255,0,0,1,65535,0
3,175,ª®œ…◊”,0,1,255,0,255,850,120,0,0,1,10,255,0,0,1,65535,0
4,175,ª®œ…◊”,0,1,255,0,255,850,220,0,0,1,10,255,0,0,1,65535,0
5,371,ƒæÕ∞,2,0,255,0,255,900,220,0,0,1,255,255,0,0,0,0,100
6,65535,µ⁄“ª∆¡,0,65500,255,0,255,1000,250,0,0,1,255,255,0,0,1,65535,0
7,375,πˆÕ≤,2,0,255,0,255,1600,185,0,1,1,255,255,0,0,0,0,50
8,375,πˆÕ≤,2,0,255,0,255,1600,75,0,1,1,255,255,0,0,0,0,50
9,379,¥•∑¢∆˜,4,0,1,0,15,1500,200,0,1,1,255,255,0,1,0,65535,0
10,379,¥•∑¢∆˜,4,0,1,0,16,1500,200,0,1,1,255,255,0,1,0,65535,0
11,379,¥•∑¢∆˜,4,0,1,0,17,1500,200,0,1,1,255,255,0,1,0,65535,0
12,379,¥•∑¢∆˜,4,0,1,0,18,1500,200,0,1,1,255,255,0,1,0,65535,0
13,379,¥•∑¢∆˜,4,0,1,0,19,1500,200,0,1,1,255,255,0,1,0,65535,0
14,379,¥•∑¢∆˜,4,0,1,0,20,1500,200,0,1,1,255,255,0,1,0,65535,0
15,171,…±»À∑‰,0,0,255,1,255,1150,130,0,1,1,10,255,1,0,1,65535,0
16,171,…±»À∑‰,0,0,255,1,255,1400,240,0,1,1,10,255,1,0,1,65535,0
17,171,…±»À∑‰,0,0,255,1,255,1400,30,0,1,1,10,255,1,0,1,65535,0
18,175,ª®œ…◊”,0,1,255,1,255,1950,240,0,1,1,4,255,0,0,1,65535,0
19,303,—™∫˚µ˚,0,2,255,1,255,1700,130,0,1,1,10,255,0,0,1,0,100
20,175,ª®œ…◊”,0,1,255,1,255,1950,30,0,1,1,4,255,0,0,1,65535,0
21,371,ƒæÕ∞,2,0,255,0,255,1500,20,0,1,1,255,255,0,0,0,0,100
22,65535,µ⁄∂˛∆¡,0,65500,255,0,255,2000,250,0,1,1,255,255,0,0,1,65535,0
23,171,…±»À∑‰,0,0,255,0,255,2550,20,0,2,1,10,255,0,0,1,65535,0
24,303,—™∫˚µ˚,0,2,255,0,255,2550,120,0,2,1,10,255,0,0,1,65535,0
25,171,…±»À∑‰,0,0,255,0,255,2550,220,0,2,1,10,255,0,0,1,65535,0
26,381,ªÓ∂Øµÿ¥Ã,3,0,255,0,255,2200,220,0,2,1,255,255,0,0,0,65535,0
27,381,ªÓ∂Øµÿ¥Ã,3,0,255,0,255,2400,220,0,2,1,255,255,0,0,0,65535,0
28,381,ªÓ∂Øµÿ¥Ã,3,0,255,0,255,2400,30,0,2,1,255,255,0,0,0,65535,0
29,381,ªÓ∂Øµÿ¥Ã,3,0,255,0,255,2600,30,0,2,1,255,255,0,0,0,65535,0
30,375,πˆÕ≤,2,0,255,0,255,2700,220,0,2,1,255,255,0,0,0,0,75
31,375,πˆÕ≤,2,0,255,0,255,3000,220,0,2,1,255,255,0,0,0,0,75
32,375,πˆÕ≤,2,0,255,0,255,2700,30,0,2,1,255,255,0,0,0,0,75
33,375,πˆÕ≤,2,0,255,0,255,3000,30,0,2,1,255,255,0,0,0,0,75
34,65535,µ⁄»˝∆¡,0,65500,255,0,255,3000,250,0,2,1,255,255,0,0,1,65535,0
